80,1663390138.49
90,1663390140.5
55,1663390142.01
77,1663390143.52
24,1663390145.02
79,1663390146.52
32,1663390148.02
30,1663390149.52
65,1663390151.03
59,1663390152.55
87,1663390189.41
62,1663390192.8
44,1663390193.97
72,1663390193.97
83,1663390195.2
56,1663390196.36
67,1663390197.53
29,1663390198.69
87,1663390198.69
31,1663390199.93
31,1663390212.31
31,1663390212.31
47,1663390212.31
78,1663390212.31
53,1663390215.84
34,1663390217.03
84,1663390217.03
76,1663390218.29
42,1663390219.46
46,1663390219.46
74,1663390442.94
90,1663390445.04
89,1663390447.14
69,1663390449.24
47,1663390451.33
25,1663390452.32
18,1663390493.76
79,1663390493.76
33,1663390494.72
19,1663390494.72
55,1663390494.72
79,1663390495.03
51,1663390495.2
52,1663390495.35
71,1663390495.51
53,1663390495.69
18,1663390586.98
59,1663390586.99
20,1663390589.05
72,1663390589.05
70,1663390589.3
32,1663390589.47
84,1663390589.47
35,1663390589.7
65,1663390589.7
31,1663390589.95
86,1663390621.5
35,1663390622.49
17,1663390622.49
83,1663390622.49
90,1663390622.8
38,1663390622.96
33,1663390622.97
17,1663390622.97
23,1663390622.97
70,1663390622.97
65,1663390639.68
37,1663390640.55
62,1663390640.55
43,1663390640.79
64,1663390640.79
61,1663390641.02
53,1663390641.18
65,1663390641.34
44,1663390641.5
45,1663390641.5
21,1663390707.31
74,1663390708.31
86,1663390709.47
30,1663390710.64
23,1663390711.65
75,1663390712.66
15,1663390713.82
66,1663390714.83
39,1663390716.0
36,1663390717.03
54,1663390758.74
41,1663390761.1
17,1663390763.1
45,1663390765.12
34,1663390767.12
65,1663390769.12
70,1663390771.31
60,1663390773.49
76,1663390775.68
37,1663416063.41
89,1663416065.42
41,1663416067.67
36,1663416069.68
89,1663416071.69
78,1663416073.83
54,1663416075.97
41,1663416078.12
62,1663416080.13
59,1663416082.26
